id,v_type,k,v
248462946,<type 'str'>,created_by,JOSM
248525401,<type 'str'>,crossing,traffic_signals
248525401,<type 'str'>,highway,traffic_signals
248525409,<type 'str'>,highway,traffic_signals
248525416,<type 'str'>,created_by,JOSM
248525418,<type 'str'>,created_by,JOSM
248550898,<type 'str'>,created_by,JOSM
248550900,<type 'str'>,created_by,JOSM
248550904,<type 'str'>,created_by,JOSM
248550912,<type 'str'>,created_by,JOSM
248550920,<type 'str'>,created_by,JOSM
248552474,<type 'str'>,created_by,JOSM
248552475,<type 'str'>,created_by,JOSM
248552486,<type 'str'>,created_by,JOSM
248678594,<type 'str'>,highway,traffic_signals
248678728,<type 'str'>,bicycle,yes
248678728,<type 'str'>,crossing,traffic_signals
248678728,<type 'str'>,highway,traffic_signals
248680029,<type 'str'>,highway,traffic_signals
248680032,<type 'str'>,highway,traffic_signals
248680036,<type 'str'>,highway,traffic_signals
248766831,<type 'str'>,highway,traffic_signals
248776656,<type 'str'>,alt_name,Thi. Nam. Shreekantaiah Circle
248776656,<type 'str'>,junction,yes
248776656,<type 'str'>,name,South End Circle
248776656,<type 'unicode'>,name:kn,ತಿ.ನಂ.ಶ್ರೀ ವೃತ್ತ
248776663,<type 'str'>,crossing,traffic_signals
248776663,<type 'str'>,highway,traffic_signals
248808777,<type 'str'>,crossing,uncontrolled
248808777,<type 'str'>,highway,traffic_signals
248808932,<type 'str'>,highway,traffic_signals
248808939,<type 'str'>,crossing,traffic_signals
248808939,<type 'str'>,highway,traffic_signals
248809018,<type 'str'>,highway,traffic_signals
248809641,<type 'str'>,crossing,traffic_signals
248809641,<type 'str'>,highway,traffic_signals
248809814,<type 'str'>,name,Nettakallappa circle
248838859,<type 'str'>,highway,traffic_signals
248838952,<type 'str'>,alt_name,Gavipuram Extension
248838952,<type 'str'>,highway,bus_stop
248838952,<type 'str'>,name,Kohinoor Ground
248838952,<type 'unicode'>,name:kn,ಕೊಹಿನೂರು ಕ್ರೀಡಾಂಗಣ
248839215,<type 'str'>,highway,traffic_signals
248839254,<type 'str'>,highway,traffic_signals
249074232,<type 'str'>,crossing,traffic_signals
249074232,<type 'str'>,highway,traffic_signals
249074233,<type 'str'>,highway,traffic_signals
249074386,<type 'str'>,alt_name,Yediyur Junction
249074386,<type 'str'>,junction,yes
249074386,<type 'str'>,name,Chairman Betappa Junction
249075223,<type 'str'>,junction,yes
249075223,<type 'str'>,name,Reddy Hospital Junction
249075247,<type 'str'>,junction,yes
249075247,<type 'str'>,name,Karnataka Bank Junction
249075448,<type 'str'>,highway,traffic_signals
249075450,<type 'str'>,highway,mini_roundabout
249075521,<type 'str'>,highway,traffic_signals
249075659,<type 'str'>,highway,traffic_signals
249075973,<type 'str'>,highway,traffic_signals
249075974,<type 'str'>,highway,traffic_signals
249076281,<type 'str'>,highway,traffic_signals
249076302,<type 'str'>,crossing,traffic_signals
249076302,<type 'str'>,highway,traffic_signals
249076305,<type 'str'>,crossing,traffic_signals
249076305,<type 'str'>,highway,traffic_signals
249081285,<type 'str'>,junction,yes
249081285,<type 'str'>,name,IMA Junction
249082186,<type 'str'>,highway,traffic_signals
249082188,<type 'str'>,highway,traffic_signals
249084526,<type 'str'>,highway,bus_stop
249084526,<type 'str'>,name,Magadi Road 1st Cross
249086438,<type 'str'>,highway,traffic_signals
249086438,<type 'str'>,source,Royan Circle
249087719,<type 'str'>,highway,traffic_signals
249087719,<type 'str'>,junction,yes
249087719,<type 'str'>,name,Basappa Circle
249087719,<type 'unicode'>,name:kn,ಬಸಪ್ಪ ವೃತ್ತ
249087970,<type 'str'>,highway,bus_stop
249087970,<type 'str'>,name,Cauvery Bhavana
249087970,<type 'unicode'>,name:kn,ಕಾವೇರಿ ಭವನ
249087970,<type 'str'>,public_transport,stop_position
249087971,<type 'str'>,highway,traffic_signals
249087971,<type 'str'>,junction,yes
249087971,<type 'str'>,name,Mysore Bank Circle
249087971,<type 'unicode'>,name:kn,ಮೈಸೂರು ಬ್ಯಾಂಕ್ ವೃತ್ತ
249088109,<type 'str'>,barrier,gate
249088130,<type 'str'>,barrier,gate
249088242,<type 'str'>,barrier,gate
249098535,<type 'str'>,highway,traffic_signals
249141343,<type 'str'>,highway,bus_stop
249141343,<type 'str'>,name,Sajjan Rao Circle
249141343,<type 'unicode'>,name:kn,ಸಜ್ಜನ ರಾವ ವೃತ್ತ
249258666,<type 'str'>,highway,traffic_signals
249258666,<type 'str'>,junction,yes
249258666,<type 'str'>,name,Lalbagh West Gate
249258666,<type 'unicode'>,name:kn,ಲಾಲಬಾಗ್ ಪಶ್ಚಿಮ ದ್ವಾರ
249775286,<type 'str'>,highway,traffic_signals
249775749,<type 'str'>,name,Nagasandra Circle
249776275,<type 'str'>,designation,T. R. Nagar
249776275,<type 'str'>,highway,bus_stop
249776275,<type 'str'>,local_ref,T. R. Nagar
249776275,<type 'str'>,name,Thyagaraja Nagar
249776275,<type 'unicode'>,name:kn,ತ್ಯಾಗರಾಜನಗರ
249842964,<type 'str'>,highway,bus_stop
249842964,<type 'str'>,local_ref,BANASHANKRI 2ND STAGE
249842964,<type 'str'>,name,Cauvery Nagara
249842964,<type 'unicode'>,name:kn,ಕಾವೇರಿನಗರ
249842964,<type 'str'>,wheelchair,limited
251099554,<type 'str'>,highway,bus_stop
251099554,<type 'str'>,local_ref,Konena Agrahara
251099554,<type 'str'>,name,Konena Agrahara
251099554,<type 'unicode'>,name:kn,ರಾಜೇಶ್ವರಿ ಟಾಕೀಸ್
251099554,<type 'str'>,wheelchair,no
251099560,<type 'str'>,highway,bus_stop
251099560,<type 'str'>,local_ref,HAL
251099560,<type 'str'>,name,Helicopter Division
251099560,<type 'str'>,wheelchair,no
